,Customer_ID,snapshot_date,fe_1,fe_2,fe_3,fe_4,fe_5,fe_6,fe_7,fe_8,fe_9,fe_10,fe_11,fe_12,fe_13,fe_14,fe_15,fe_16,fe_17,fe_18,fe_19,fe_20,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,Age,Occupation
10,CUS_0x15d9,2024-03-01,124,75,145,150,-59,28,-16,-46,31,130,-15,247,21,210,101,96,408,179,132,62,9643.265,829.6054,9,6,17.0,8.0,"Auto Loan, Personal Loan, Credit-Builder Loan, Debt Consolidation Loan, Credit-Builder Loan, Student Loan, Student Loan, and Mortgage Loan",31,14,16.95,14.0,Bad,2836.9,37.73429,5,Yes,43.117905,55.626904,Low_spent_Small_value_payments,274.21573,34,Doctor
11,CUS_0x16b4,2024-03-01,172,181,108,-29,233,-6,77,74,316,300,119,223,351,-16,53,41,-3,150,36,131,98087.76,7890.98,4,4,8.0,4.0,"Credit-Builder Loan, Personal Loan, Credit-Builder Loan, and Home Equity Loan",7,10,11.9,10.0,Standard,55.46,36.16528,12,Yes,184.256,257.461,Unknown,597.381,37,Lawyer
12,CUS_0x1713,2024-03-01,123,-9,165,306,206,154,-112,38,144,105,20,21,55,14,200,18,125,216,207,214,54568.92,4452.41,9,10,23.0,9.0,"Debt Consolidation Loan, Student Loan, Student Loan, Credit-Builder Loan, Payday Loan, Home Equity Loan, Mortgage Loan, Debt Consolidation Loan, and Credit-Builder Loan",60,15,24.99,11.0,Bad,3336.99,25.139542,12,NM,277.30246,509.70047,Low_spent_Small_value_payments,245.48077,32,Musician
13,CUS_0x18d8,2024-03-01,94,129,297,91,69,-10,219,182,127,-26,293,-125,-52,-115,136,122,223,120,72,57,15291.67,1109.3058,4,5,20.0,1.0,Auto Loan,17,14,14.26,2.0,Standard,121.04,35.160343,24,Yes,7.3349733,34.242348,High_spent_Medium_value_payments,319.35327,37,Accountant
14,CUS_0x18e5,2024-03-01,111,238,102,140,-24,69,151,115,235,103,89,-1,-114,-27,55,130,126,-30,227,-76,16408.77,1644.3975,4,6,23.0,3.0,"Debt Consolidation Loan, Auto Loan, and Personal Loan",22,12,14.11,9.0,Unknown,1756.68,35.425636,17,Yes,37.972034,64.346695,High_spent_Medium_value_payments,312.12103,34,Architect
15,CUS_0x1931,2024-03-01,76,-73,17,34,129,176,220,160,83,166,136,252,17,228,171,179,144,172,100,-117,20590.48,1704.8733,6,6,32.0,9.0,"Not Specified, Auto Loan, Mortgage Loan, Personal Loan, Debt Consolidation Loan, Credit-Builder Loan, Personal Loan, Student Loan, and Payday Loan",62,19,7.85,10.0,Bad,2097.73,34.702423,9,Yes,129.68365,106.9947,High_spent_Small_value_payments,193.80898,18,Lawyer
16,CUS_0x19b0,2024-03-01,191,-212,10,76,-27,120,61,104,97,7,11,70,44,150,33,109,228,27,224,49,109110.57,9109.548,0,1,4.0,4.0,"Personal Loan, Payday Loan, Not Specified, and Mortgage Loan",8,1,1.76,2.0,Good,411.96,32.62881,16,NM,257.2323,185.53127,Unknown,708.1912,38,Writer
17,CUS_0x19b2,2024-03-01,23,212,152,104,196,71,-84,166,180,131,36,208,93,123,-136,68,156,52,282,114,34134.78,2707.565,8,7,25.0,7.0,"Student Loan, Payday Loan, Mortgage Loan, Auto Loan, Not Specified, Not Specified, and Debt Consolidation Loan",6,20,19.06,15.0,Standard,2374.78,24.653385,14,Yes,195.516,161.16995,High_spent_Small_value_payments,174.07054,38,Developer
18,CUS_0x19c9,2024-03-01,193,183,-177,117,228,171,-8,269,375,170,138,-78,168,64,380,60,64,355,171,254,14542.3,1480.8583,6,9,22.0,6.0,"Auto Loan, Not Specified, Auto Loan, Not Specified, Payday Loan, and Student Loan",27,18,15.22,8.0,Bad,4479.0,34.83054,1,Yes,63.111988,131.40926,Low_spent_Medium_value_payments,233.56459,31,Entrepreneur
19,CUS_0x19f3,2024-03-01,196,84,-150,179,221,121,195,70,160,175,-24,68,190,30,103,101,106,240,63,78,7361.645,673.4704,9,10,19.0,9.0,"Home Equity Loan, Mortgage Loan, Home Equity Loan, Debt Consolidation Loan, Credit-Builder Loan, Payday Loan, Credit-Builder Loan, Payday Loan, and Debt Consolidation Loan",44,22,5.32,8.0,Bad,2500.0,38.690968,12,Yes,41.94567,47.08128,Low_spent_Small_value_payments,268.3201,32,Entrepreneur
20,CUS_0x1ac9,2024-03-01,104,-90,42,109,-12,34,154,68,163,62,106,149,102,76,60,120,237,-65,124,162,12860.845,966.73706,3,7,8.0,0.0,Unknown,23,17,10.55,4.0,Standard,209.28,33.632034,28,No,0.0,92.01153,Low_spent_Small_value_payments,294.66217,30,Others
21,CUS_0x1b0b,2024-03-01,60,251,56,38,113,49,189,84,21,110,143,54,257,26,73,93,328,114,315,3,9709.325,670.1104,10,8,19.0,5.0,"Mortgage Loan, Mortgage Loan, Student Loan, Debt Consolidation Loan, and Personal Loan",46,25,9.88,11.0,Bad,3195.59,30.496038,8,Yes,25.767393,0.0,High_spent_Medium_value_payments,281.5704,28,Manager
22,CUS_0x1b21,2024-03-01,124,151,77,191,104,184,231,142,100,151,222,183,192,112,-17,251,99,-136,-43,70,134928.36,11197.03,1,5,6.0,0.0,Unknown,14,11,7.25,7.0,Unknown,587.0,38.59693,21,No,0.0,372.61636,Low_spent_Medium_value_payments,1027.0867,27,Others
23,CUS_0x1b97,2024-03-01,251,44,46,51,69,230,125,47,175,13,122,284,246,242,118,56,-10,8,83,258,28631.79,2453.9824,3,3,11.0,3.0,"Credit-Builder Loan, Home Equity Loan, and Payday Loan",31,17,13.94,9.0,Standard,685.37,33.71095,18,Yes,65.284966,232.4021,Low_spent_Medium_value_payments,227.71118,18,Entrepreneur
24,CUS_0x1d85,2024-03-01,55,156,-32,-115,58,170,259,106,213,185,212,159,111,74,-54,32,151,9,62,139,19455.49,1428.2909,7,3,20.0,2.0,"Student Loan, and Not Specified",15,17,15.46,9.0,Standard,1427.03,36.39293,12,Yes,31.30713,136.19559,Low_spent_Medium_value_payments,255.32637,33,Engineer
25,CUS_0x1e63,2024-03-01,-40,29,-53,278,253,101,161,285,18,83,-1,169,153,115,293,166,83,-20,218,24,10025.2,1089.4333,10,10,21.0,7.0,"Credit-Builder Loan, Home Equity Loan, Personal Loan, Auto Loan, Personal Loan, Auto Loan, and Credit-Builder Loan",23,14,16.88,12.0,Standard,1409.58,33.964096,15,Yes,41.431576,145.68399,Low_spent_Small_value_payments,211.82776,37,Others
26,CUS_0x1ebb,2024-03-01,94,64,73,149,74,110,48,88,190,197,123,292,335,319,27,105,-20,233,-10,11,12723.325,1183.2771,4,7,13.0,3.0,"Credit-Builder Loan, Debt Consolidation Loan, and Not Specified",12,8,8.81,0.0,Standard,387.78,23.847015,22,No,29.270266,121.31029,Unknown,247.74716,28,Writer
27,CUS_0x20b2,2024-03-01,106,47,96,117,110,110,194,97,-11,166,78,163,91,72,53,159,-142,136,-60,-120,124190.8,10640.233,8,3,17.0,4.0,"Auto Loan, Personal Loan, Home Equity Loan, and Not Specified",6,8,3.7,0.0,Standard,834.52,35.88658,19,Yes,408.65292,215.88135,High_spent_Large_value_payments,679.4891,33,Accountant
28,CUS_0x20f3,2024-03-01,202,240,95,86,108,140,-2,86,92,37,140,149,200,96,48,123,108,35,187,79,20344.02,1950.335,3,3,33.0,2.0,"Not Specified, and Mortgage Loan",6,20,13.29,11.0,Standard,1391.92,37.398075,17,NM,19.018108,10000.0,Low_spent_Small_value_payments,373.11896,35,Architect
29,CUS_0x2176,2024-03-01,98,94,92,26,14,58,148,130,336,148,119,140,-85,79,29,-75,319,375,249,13,94053.57,7954.7974,4,4,14.0,3.0,"Auto Loan, Personal Loan, and Not Specified",22,12,11.96,0.0,Standard,815.38,34.658916,26,No,197.13249,89.31599,High_spent_Medium_value_payments,759.03125,37,Writer
30,CUS_0x21f4,2024-03-01,86,192,79,-49,6,66,213,-46,217,149,215,110,197,265,-16,259,-165,97,-4,178,114597.04,9366.753,7,6,4.0,4.0,"Auto Loan, Not Specified, Payday Loan, and Student Loan",32,8,10.54,2.0,Good,926.18,26.436314,31,No,225.92377,327.61966,High_spent_Medium_value_payments,633.1319,55,Doctor
31,CUS_0x224a,2024-03-01,-6,40,55,19,150,-9,251,199,-30,187,-2,33,134,82,249,12,64,138,208,69,114929.01,9469.418,794,3,2.0,3.0,"Personal Loan, Debt Consolidation Loan, and Payday Loan",11,3,2.08,6.0,Good,742.14,31.504541,26,No,206.87483,10000.0,Low_spent_Medium_value_payments,44.234726,55,Teacher
32,CUS_0x2267,2024-03-01,-21,236,138,57,45,-2,178,145,196,-48,-24,70,123,123,204,-120,291,265,45,-86,17556.41,1192.0342,8,10,34.0,4.0,"Auto Loan, Student Loan, Mortgage Loan, and Personal Loan",21,10,15.09,9.0,Standard,2178.73,35.857662,15,Yes,57130.0,70.86732,Low_spent_Medium_value_payments,286.2082,43,Others
33,CUS_0x2270,2024-03-01,220,87,230,113,93,-1,21,83,58,39,-67,177,165,107,47,157,177,218,47,129,17732.92,1333.8418,7,8,23.0,8.0,"Not Specified, Auto Loan, Debt Consolidation Loan, Home Equity Loan, Student Loan, Mortgage Loan, Student Loan, and Not Specified",60,23,2.46,9.0,Bad,4963.83,24.617805,9,Yes,77.929886,166.94412,Low_spent_Small_value_payments,189.40186,35,Scientist
34,CUS_0x2308,2024-03-01,310,10,70,107,46,-25,137,174,162,69,170,139,21,44,-29,100,165,43,177,72,19286.26,1703.1884,9,9,20.0,6.0,"Debt Consolidation Loan, Credit-Builder Loan, Auto Loan, Mortgage Loan, Personal Loan, and Auto Loan",34,19,28.01,14.0,Bad,4019.02,33.11878,9,Yes,66.33475,42.86272,High_spent_Small_value_payments,321.12137,23,Lawyer
35,CUS_0x2346,2024-03-01,105,78,234,132,52,97,147,203,94,238,171,50,125,61,187,85,-102,103,-96,230,58892.86,5106.7383,3,4,17.0,3.0,"Debt Consolidation Loan, Home Equity Loan, and Credit-Builder Loan",19,20,14.65,7.0,Standard,666.0,27.752779,33,NM,118.34823,243.68553,Low_spent_Medium_value_payments,428.64008,32,Accountant
36,CUS_0x23a1,2024-03-01,-102,90,11,43,171,228,114,-42,254,203,304,130,247,36,-189,239,208,162,115,220,16579.55,1485.6292,7,6,12.0,2.0,"Not Specified, and Credit-Builder Loan",20,12,8.74,12.0,Standard,1467.16,38.403324,19,Yes,16.954018,54.65654,High_spent_Medium_value_payments,326.95236,23,Mechanic
37,CUS_0x23d6,2024-03-01,175,188,125,197,196,127,164,94,106,89,138,211,5,9,-240,135,62,172,-167,238,172074.88,14238.573,2,6,11.0,3.0,"Payday Loan, Payday Loan, and Mortgage Loan",11,10,11.6,5.0,Good,59.21,36.75025,22,No,391.62936,227.67543,High_spent_Medium_value_payments,1054.5525,19,Journalist
38,CUS_0x2425,2024-03-01,187,208,165,234,155,148,146,162,214,151,210,200,219,81,204,195,79,-92,122,57,67204.1,5333.342,0,6,12.0,2.0,"Debt Consolidation Loan, and Debt Consolidation Loan",14,6,0.78,2.0,Good,1085.23,25.28624,23,No,86.31031,182.62851,Low_spent_Small_value_payments,554.3953,25,Developer
39,CUS_0x2508,2024-03-01,99,31,130,58,267,-104,158,100,161,114,231,293,150,113,-33,151,214,158,85,141,15131.11,1321.9258,7,8,15.0,9.0,"Debt Consolidation Loan, Home Equity Loan, Personal Loan, Student Loan, Credit-Builder Loan, Not Specified, Personal Loan, Payday Loan, and Debt Consolidation Loan",15,15,18.12,7.0,Bad,2776.52,29.449429,1,Yes,86.06892,90.8427,Low_spent_Small_value_payments,245.28098,45,Musician
40,CUS_0x25b0,2024-03-01,-55,134,29,130,109,75,144,66,34,-14,169,209,352,106,190,8,143,196,-21,90,8819.74,866.97833,9,8,20.0,6.0,"Auto Loan, Student Loan, Payday Loan, Payday Loan, Personal Loan, and Debt Consolidation Loan",33,17,31.26,6.0,Bad,4084.61,30.789192,6,NM,22.204678,85.08991,Low_spent_Medium_value_payments,259.40326,31,Teacher
41,CUS_0x2646,2024-03-01,92,134,141,104,166,-42,163,128,114,210,21,59,-13,63,-73,155,386,-46,137,-161,7807.285,606.60706,4,6,13.0,2.0,"Debt Consolidation Loan, and Debt Consolidation Loan",14,20,16.31,4.0,Standard,692.63,38.483154,7,Yes,7.7710752,75.018074,Low_spent_Small_value_payments,267.87155,45,Journalist
42,CUS_0x2653,2024-03-01,134,-59,132,128,143,122,11,184,64,125,103,205,-174,-28,154,-49,111,90,275,-97,19517.56,1535.4634,7,10,23.0,6.0,"Credit-Builder Loan, Auto Loan, Credit-Builder Loan, Payday Loan, Student Loan, and Payday Loan",25,16,14.19,6.0,Unknown,2673.82,25.355448,15,Yes,70.90498,41.449135,High_spent_Small_value_payments,301.19223,35,Others
43,CUS_0x2717,2024-03-01,-39,46,216,56,-144,-30,141,103,131,89,82,-217,219,223,83,147,-85,-22,183,219,14836.74,1151.395,5,5,2.0,4.0,"Personal Loan, Credit-Builder Loan, Auto Loan, and Home Equity Loan",17,1,8.99,2.0,Good,832.06,31.610922,26,No,36.910885,152.02402,Low_spent_Small_value_payments,216.2046,31,Others
44,CUS_0x2730,2024-03-01,43,53,-30,-59,-14,29,155,58,143,-30,122,235,151,240,-4,67,82,226,215,45,23289.74,2012.8116,4,6,6.0,4.0,"Auto Loan, Payday Loan, Mortgage Loan, and Debt Consolidation Loan",19,10,1.09,8.0,Unknown,804.75,31.097364,23,No,40.095146,115.9841,Low_spent_Large_value_payments,315.20193,39,Engineer
45,CUS_0x2731,2024-03-01,68,90,81,262,101,55,-30,155,51,113,222,20,43,-29,169,251,104,-56,51,-46,43885.43,3596.1191,1,2,11.0,2.0,"Payday Loan, and Debt Consolidation Loan",13,8,1.99,0.0,Good,168.53,30.813456,30,No,51.655834,123.52876,High_spent_Medium_value_payments,434.42734,54,Teacher
46,CUS_0x2788,2024-03-01,211,151,104,37,173,171,150,289,-28,162,226,166,128,-35,-39,104,323,27,130,0,97164.6,8167.05,3,5,18.0,3.0,"Credit-Builder Loan, Payday Loan, and Student Loan",9,18,13.53,1.0,Unknown,1095.37,36.182934,28,Yes,124.33994,92.31788,High_spent_Large_value_payments,840.0472,49,Writer
47,CUS_0x27e5,2024-03-01,255,109,16,181,-64,78,101,-6,125,210,239,223,47,50,-83,283,88,238,185,49,24415.29,2227.6074,7,6,8.0,3.0,"Not Specified, Not Specified, and Home Equity Loan",20,9,13.35,8.0,Unknown,898.7,37.192326,30,NM,40.229134,71.38624,High_spent_Medium_value_payments,361.1454,21,Media_Manager
48,CUS_0x2824,2024-03-01,203,-62,209,64,26,104,66,76,86,185,1,30,110,243,-67,248,22,56,136,205,16334.61,1499.2175,10,625,22.0,7.0,"Personal Loan, Personal Loan, Credit-Builder Loan, Home Equity Loan, Payday Loan, Credit-Builder Loan, and Debt Consolidation Loan",45,12,9.03,17.0,Unknown,1421.64,32.256245,11,NM,88.87696,10000.0,Low_spent_Large_value_payments,259.6404,19,Others
49,CUS_0x28a3,2024-03-01,113,122,117,82,46,90,128,164,242,127,97,168,67,28,167,-47,-99,-8,174,73,88481.16,7082.43,3,4,18.0,0.0,Unknown,19,12,13.29,4.0,Standard,1343.5,25.663275,27,Yes,0.0,545.33246,Low_spent_Medium_value_payments,442.91055,37,Architect
50,CUS_0x2959,2024-03-01,105,165,81,251,146,86,-37,128,121,197,112,6,268,166,44,195,8,51,142,33,38095.16,3387.5967,9,6,25.0,2.0,"Credit-Builder Loan, and Not Specified",23,12,8.62,13.0,Standard,2695.77,40.304733,8,Yes,59.761017,132.2766,High_spent_Medium_value_payments,396.72205,40,Writer
51,CUS_0x29ab,2024-03-01,185,102,325,197,-33,194,22,232,131,32,155,118,68,-11,154,24,67,66,42,37,20498.12,1559.1766,7,6,32.0,2.0,"Home Equity Loan, and Payday Loan",18,15,10.58,11.0,Standard,1473.64,31.474754,19,Yes,31.917446,131.78636,Low_spent_Small_value_payments,282.21387,43,Writer
52,CUS_0x2bc4,2024-03-01,108,75,273,95,251,88,198,222,173,101,76,73,186,126,-126,103,88,254,123,-90,26094.08,2120.5066,7,5,11.0,3.0,"Mortgage Loan, Debt Consolidation Loan, and Payday Loan",18,9,1.65,2.0,Standard,945.7,30.897009,18,NM,51.27956,239.46533,Low_spent_Small_value_payments,211.30577,32,Musician
53,CUS_0x2ccb,2024-03-01,228,150,149,198,112,190,-50,380,131,188,78,48,-133,163,127,56,81,32,-16,129,100100.22,8291.685,5,4,7.0,0.0,Unknown,14,8,3.94,6.0,Good,1472.32,37.607513,24,No,0.0,275.546,High_spent_Medium_value_payments,803.6225,52,Journalist
54,CUS_0x2d82,2024-03-01,-4,168,204,44,101,116,116,-30,49,111,61,-51,11,160,322,131,174,261,124,291,26411.81,1911.8333,5,6,6.0,4.0,"Debt Consolidation Loan, Payday Loan, Mortgage Loan, and Debt Consolidation Loan",26,16,11.78,6.0,Good,1223.3,26.45419,29,No,140.61058,47.77945,High_spent_Small_value_payments,348.7593,40,Doctor
55,CUS_0x2db3,2024-03-01,138,125,122,10,102,78,295,63,51,96,47,23,212,236,51,315,-30,164,51,190,107742.32,8761.526,3,6,3.0,0.0,Unknown,11,20,1.88,9.0,Good,1158.65,25.478779,16,No,0.0,598.8217,Low_spent_Medium_value_payments,557.33093,50,Manager
56,CUS_0x2e91,2024-03-01,19,160,-3,124,112,147,233,116,235,185,212,114,-34,-38,96,-53,177,59,71,53,70926.06,5741.505,7,7,10.0,2.0,"Debt Consolidation Loan, and Credit-Builder Loan",13,19,9.79,6.0,Standard,332.75,32.45098,29,No,67.185776,297.23737,Low_spent_Large_value_payments,479.72736,31,Others
57,CUS_0x2eb4,2024-03-01,-64,237,141,13,248,128,363,276,-36,-162,196,134,164,170,194,122,84,230,119,148,14784.45,1192.9283,8,7,19.0,9.0,"Mortgage Loan, Home Equity Loan, Student Loan, Debt Consolidation Loan, Payday Loan, Mortgage Loan, Debt Consolidation Loan, Debt Consolidation Loan, and Debt Consolidation Loan",36,23,28.9,11.0,Bad,3506.97,33.62597,10,Yes,103.55133,79.416336,Unknown,241.84523,39,Engineer
58,CUS_0x2eff,2024-03-01,-68,141,195,129,202,120,39,332,112,145,114,10,45,238,75,54,43,250,-110,76,36933.77,3324.8142,4,6,8.0,3.0,"Credit-Builder Loan, Personal Loan, and Mortgage Loan",8,10,5.65,3.0,Good,185.39,33.481873,19,NM,62.864372,190.44962,Unknown,339.16742,19,Doctor
59,CUS_0x2f1c,2024-03-01,63,125,93,79,173,183,14,111,-4,147,127,32,-92,315,123,200,-18,41,23,148,71131.53,6148.6274,7,8,16.0,6.0,"Credit-Builder Loan, Not Specified, Student Loan, Auto Loan, Payday Loan, and Auto Loan",28,23,8.86,5.0,Unknown,1168.61,33.00187,19,Yes,222.43347,61.28656,High_spent_Large_value_payments,571.1427,43,Engineer
60,CUS_0x2f9b,2024-03-01,-22,169,79,57,103,-32,238,-52,187,-73,49,-27,144,97,-29,168,82,205,34,0,17397.56,1681.7966,9,10,15.0,6.0,"Debt Consolidation Loan, Debt Consolidation Loan, Personal Loan, Not Specified, Not Specified, and Mortgage Loan",47,20,17.62,9.0,Bad,1435.6,34.397346,19,Yes,21139.0,87.67642,Low_spent_Medium_value_payments,291.19788,25,Engineer
61,CUS_0x300b,2024-03-01,146,192,79,121,-34,72,267,168,7,48,-93,217,289,65,202,-35,-46,59,85,-66,8394.57,818.5475,7,7,28.0,5.0,"Debt Consolidation Loan, Debt Consolidation Loan, Not Specified, Payday Loan, and Auto Loan",5,6,22.03,9.0,Standard,1812.46,21.804821,8,Yes,29.90771,32.74019,High_spent_Medium_value_payments,269.20685,37,Mechanic
62,CUS_0x31e8,2024-03-01,82,238,245,63,187,93,55,101,-17,71,176,112,-62,-29,-90,161,30,5,136,41,14363.25,1092.9375,10,7,19.0,7.0,"Debt Consolidation Loan, Home Equity Loan, Payday Loan, Not Specified, Credit-Builder Loan, Credit-Builder Loan, and Auto Loan",43,23,17.76,6.0,Bad,1758.22,36.693542,13,Yes,39760.0,62.384808,Low_spent_Small_value_payments,261.68744,21,Doctor
63,CUS_0x3243,2024-03-01,239,230,41,121,-77,203,-47,59,204,57,290,201,205,150,345,39,144,-22,74,294,40377.89,3206.8242,5,7,2.0,4.0,"Auto Loan, Debt Consolidation Loan, Not Specified, and Not Specified",10,6,3.35,4.0,Good,1410.14,27.161299,28,No,119.13974,211.87805,Low_spent_Small_value_payments,279.6646,21,Doctor
64,CUS_0x32cb,2024-03-01,218,289,251,97,180,55,45,17,96,180,49,104,157,-106,-4,204,-57,253,209,-33,32959.87,2957.6558,2,5,12.0,4.0,"Debt Consolidation Loan, Home Equity Loan, Home Equity Loan, and Payday Loan",4,10,0.69,0.0,Unknown,1030.14,33.447163,17,No,60.940746,129.22,High_spent_Small_value_payments,365.60483,47,Entrepreneur
65,CUS_0x3356,2024-03-01,182,233,218,162,142,240,-113,163,181,392,113,275,172,270,61,266,118,332,218,183,30081.37,2333.7808,1,2,3.0,1.0,Mortgage Loan,1,12,9.18,1.0,Good,1421.99,34.519463,30,No,13.671713,195.85327,Unknown,293.8531,47,Doctor
66,CUS_0x33dc,2024-03-01,13,151,99,-2,107,143,-44,34,59,108,97,215,-10,131,100,-45,168,-36,212,-11,8555.805,528.98376,6,10,22.0,5.0,"Not Specified, Personal Loan, Debt Consolidation Loan, Personal Loan, and Home Equity Loan",56,22,3.85,9.0,Bad,2953.79,24.632046,11,Yes,29.050219,16.794565,High_spent_Medium_value_payments,257.0536,44,Musician
67,CUS_0x33ef,2024-03-01,101,241,10,-95,25,83,67,25,-86,65,99,180,71,116,161,201,76,119,330,187,82277.8,6826.4834,9,10,32.0,7.0,"Debt Consolidation Loan, Home Equity Loan, Personal Loan, Mortgage Loan, Payday Loan, Not Specified, and Auto Loan",60,15,17.71,7.0,Bad,2748.82,25.34526,4,Yes,479.1653,140.87007,High_spent_Medium_value_payments,312.61298,35,Lawyer
68,CUS_0x34d2,2024-03-01,93,8,198,137,224,-10,220,223,39,136,96,145,176,184,84,206,-154,28,116,41,24095.19,1821.7296,7,6,16.0,3.0,"Student Loan, Payday Loan, and Debt Consolidation Loan",16,13,9.18,4.0,Standard,1263.77,29.29008,18,Yes,223.13678,21.57031,High_spent_Large_value_payments,363.589,35,Mechanic
69,CUS_0x34d7,2024-03-01,128,32,177,-34,138,150,215,100,70,78,165,20,87,73,64,364,8,202,135,185,36821.0,3344.4167,1169,6,7.0,0.0,Unknown,10,15,2.04,8.0,Unknown,551.85,35.796375,27,No,80983.0,60.789333,High_spent_Medium_value_payments,523.65234,38,Mechanic
70,CUS_0x3655,2024-03-01,23,326,100,94,157,241,288,192,226,137,91,99,236,-55,211,232,36,-29,46,311,177907.72,13078.43,0,6,6.0,0.0,Unknown,8,10,10.76,0.0,Good,685.01,45.924656,31,No,1634.2133,327.28284,High_spent_Large_value_payments,1383.9816,30,Lawyer
